DISCLAIMER: This software is experimental. Use at your own risk. Sensor data is NOT synchronized.
2019-06-19 10:50:31.682747
C: 0.00,0
S:     -195.5 g    00:02:27
T: 22.80,22.91,21.26,22.78,1
2019-06-19 10:50:31.729619
C: 0.00,1000
S:     -195.5 g    00:02:28
T: 22.80,22.91,21.22,22.78,1001
2019-06-19 10:50:31.776490
C: 0.00,2000
S:     -195.5 g    00:02:29
T: 22.80,22.87,21.26,22.78,2001
2019-06-19 10:50:31.830551
C: 0.00,3000
S:     -195.5 g    00:02:30
T: 22.80,22.91,21.29,22.81,3001
2019-06-19 10:50:31.903486
C: 0.00,4000
S:     -195.5 g    00:02:31
T: 22.80,22.87,21.19,22.78,4001
2019-06-19 10:50:31.993860
C: 0.00,5000
S:     -196.0 g    00:02:32
T: 22.80,22.91,21.26,22.78,5001
2019-06-19 10:50:32.165723
C: 0.00,6000
S:     -196.0 g    00:02:33
T: 22.77,22.91,21.32,22.78,6001
2019-06-19 10:50:32.306340
C: 0.00,7000
S:     -196.0 g    00:02:34
T: 22.80,22.87,21.22,22.78,7001
2019-06-19 10:50:32.415718
C: 0.00,8000
S:     -196.0 g    00:02:35
T: 22.80,22.87,21.16,22.78,8001
2019-06-19 10:50:32.509451
C: 0.00,9000
S:     -196.0 g    00:02:36
T: 22.80,22.87,21.29,22.78,9001
2019-06-19 10:50:32.618825
C: 0.00,10000
S:     -196.0 g    00:02:37
T: 22.80,22.91,21.29,22.78,10001
2019-06-19 10:50:32.743810
C: 0.00,11000
S:     -196.0 g    00:02:38
T: 22.80,22.91,21.26,22.78,11001
2019-06-19 10:50:32.853178
C: 0.00,12000
S:     -196.0 g    00:00:01
T: 22.84,22.91,21.26,22.81,12001
2019-06-19 10:50:33.478134
C: 0.00,13000
T: 22.80,22.91,21.19,22.81,13001
2019-06-19 10:50:34.118630
S:     -196.0 g    00:00:02
2019-06-19 10:50:34.181128
C: 0.00,14000
2019-06-19 10:50:34.759212
T: 22.80,22.91,21.19,22.78,14001
2019-06-19 10:50:35.337298
C: 0.00,15000
S:     -195.5 g    00:00:03
T: 22.80,22.91,21.29,22.78,15001
2019-06-19 10:50:36.165367
C: 0.00,16000
S:     -195.5 g    00:00:04
2019-06-19 10:50:36.759077
T: 22.80,22.91,21.29,22.74,16001
2019-06-19 10:50:37.322781
C: 0.00,17000
S:     -195.5 g    00:00:05
T: 22.80,22.91,21.29,22.81,17001
2019-06-19 10:50:38.181978
C: 0.00,18000
S:     -195.5 g    00:00:06
2019-06-19 10:50:38.760064
T: 22.80,22.87,21.19,22.78,18001
2019-06-19 10:50:39.315318
C: 0.00,19000
S:     -195.5 g    00:00:07
T: 22.80,22.91,21.29,22.78,19001
2019-06-19 10:50:40.159011
C: 0.00,20000
S:     -195.5 g    00:00:08
2019-06-19 10:50:40.752720
T: 22.80,22.87,21.29,22.78,20001
2019-06-19 10:50:41.315183
C: 0.00,21000
S:     -195.5 g    00:00:09
T: 22.80,22.91,21.29,22.78,21001
2019-06-19 10:50:42.151536
C: 0.00,22000
2019-06-19 10:50:42.198410
S:     -195.5 g    00:00:10
2019-06-19 10:50:42.776494
T: 22.80,22.91,21.26,22.78,22001
2019-06-19 10:50:43.347497
C: 0.00,23000
S:     -195.5 g    00:00:11
T: 22.84,22.91,21.22,22.78,23001
2019-06-19 10:50:44.175566
C: 0.00,24000
2019-06-19 10:50:44.222439
S:     -195.5 g    00:00:12
2019-06-19 10:50:44.800525
T: 22.80,22.91,21.29,22.78,24001
2019-06-19 10:50:45.362986
C: 0.00,25000
S:     -195.5 g    00:00:13
T: 22.80,22.87,21.26,22.78,25001
2019-06-19 10:50:46.191055
C: 0.00,26000
2019-06-19 10:50:46.753517
S:     -195.5 g    00:00:14
T: 22.80,22.87,21.26,22.78,26001
2019-06-19 10:50:47.334037
C: 0.00,27000
T: 22.80,22.87,21.29,22.74,27001
2019-06-19 10:50:47.615269
S:     -195.5 g    00:00:15
2019-06-19 10:50:48.193354
C: 0.00,28000
2019-06-19 10:50:48.755816
S:     -195.5 g    00:00:16
T: 22.80,22.91,21.22,22.81,28001
2019-06-19 10:50:49.349526
C: 0.00,29000
T: 22.80,22.91,21.16,22.78,29001
2019-06-19 10:50:49.646383
S:     -195.5 g    00:00:17
2019-06-19 10:50:50.224466
C: 0.00,30000
2019-06-19 10:50:50.786929
S:     -196.0 g    00:00:18
T: 22.80,22.91,21.22,22.78,30001
2019-06-19 10:50:51.365015
C: 0.00,31000
T: 22.80,22.87,21.22,22.78,31001
2019-06-19 10:50:51.677495
S:     -196.0 g    00:00:19
2019-06-19 10:50:52.226893
C: 0.00,32000
2019-06-19 10:50:52.789355
S:     -196.0 g    00:00:20
T: 22.80,22.91,21.19,22.81,32001
2019-06-19 10:50:53.367441
C: 0.00,33000
T: 22.80,22.87,21.29,22.78,33001
2019-06-19 10:50:53.664297
S:     -196.0 g    00:00:21
2019-06-19 10:50:54.242382
C: 0.00,34000
2019-06-19 10:50:54.804844
S:     -196.0 g    00:00:22
T: 22.80,22.87,21.29,22.78,34001
2019-06-19 10:50:55.367781
C: 0.00,35000
T: 22.80,22.91,21.19,22.81,35001
2019-06-19 10:50:56.149333
C: 0.00,36000
S:     -196.0 g    00:00:23
2019-06-19 10:50:56.727419
T: 22.84,22.91,21.26,22.78,36001
